Judul,Penulis,Tahun
sistem informasi manajemen distribusi pupuk berbasis web studi pt petrokopindo cipta selaras,"Fahrir Rijal Fahmi Maulana, Achmad Arwan, Djoko Pramono",31 Oct 2019
klasifikasi putih murni putih mengandung formalin metode knearest neighbor,"Dede Satriawan, Hurriyatul Fitriyah, Agung Setia Budi",31 Oct 2019
klasifikasi bakso mengandung boraks sensor warna metode knearest neighbor berbasis arduino,"Dimas Dwi Saputra, Hurriyatul Fitriyah, Eko Setiawan",31 Oct 2019
knearest neighbor bat algorithm klasifikasi penyakit ginjal kronis,"Komang Anggada Sugiarta, Imam Cholissodin, Edy Santoso",31 Oct 2019
sentimen kepuasan pengguna ulasan aplikasi marketplace metode bmf neighborweighted knearest neighbor,"Sabrina Hanifah, Indriati Indriati, Marji Marji",31 Oct 2019
sistem pengelolaan penerimaan siswa studi sma brawijaya smart school,"Putu Gede Sayoga, Denny Sagita Rusdianto, Heru Nurwarsito",31 Oct 2019
kunjungan wisatawan mancanegara negara singapura algoritme extreme learning machine,"Muhammad Sanzabi Libianto, Tibyani Tibyani, Yuita Arum Sari",31 Oct 2019
webrtc sistem broadcast pembelajaran menampilkan bahasa isyarat,"Farouq Alamsyah, Dany Primanita Kartikasari, Fariz Andri Bakhtiar",31 Oct 2019
metode linear discriminant analysis lda klasifikasi pengambilan mata kuliah pilihan,"Ayu Anggrestianingsih, Agus Wahyu Widodo, Muhammad Tanzil Furqon",31 Oct 2019
penggunaan volume air pdam kota malang metode support vector regression ant colony optimization,"Akmilatul Maghfiroh, Agus Wahyu Widodo, Yuita Arum Sari",31 Oct 2019
pergerakan kedipan mata pemilihan menu display centroid analysis berdasarkan metode face landmark,"Sri Mayena, Fitri Utaminingrum",31 Oct 2019
aplikasi forum komunitas lovebird berbasis android,"Rizal Arianto Indra Cahya, Nurudin Santoso, Faizatul Amalia",31 Oct 2019
sistem informasi manajemen peternakan burung lovebird berbasis web,"Muhammad Farhan, Nurudin Santoso, Faizatul Amalia",31 Oct 2019
tampilan antarmuka qgis mapwindow pendekatan heuristic evaluation studi fungsi geoprocessing tools,"Ramadhan Eka Prana Putera, Fatwa Ramdani, Retno Indah Rokhmawati",30 Nov 2019
metode exponential smoothing peramalan penjualan produk olahan daging ayam kampung studi ayam goreng mama arka,"Dzar Romaita, Fitra Abdurrachman Bachtiar, Muhammad Tanzil Furqon",30 Nov 2019
sistem informasi penjadwalan pelayan ibadah gereja mawar sharon malang metode waterfall,"Bella Nemesias Prasetiyani, Niken Hendrakusma Wardani, Tri Afirianto",30 Nov 2019
ciri gray level cooccurrence matrix glcm deteksi melasma citra wajah,"Winda Ika Praseptiyana, Agus Wahyu Widodo, Muh Arif Rahman",30 Nov 2019
jenis attention deficit hyperactivity disorder anak learning vector quantization seleksi fitur algoritme genetika,"Chalid Ahmad Aulia, Dewi Candra, Sutrisno Sutrisno",30 Nov 2019
model lajur selfdriving car hough transform kuantisasi warna kmeans,"Pupung Adi Prasetyo, Randy Cahya Wihandika, Candra Dewi",30 Nov 2019
usability perbaikan antarmuka pengguna aplikasi mobile malang menyapa metode usability testing,"Dhiki Sekti Wibawa, Yusi Tyroni Mursityo, Retno Indah Rokhmawati",30 Nov 2019
fitur information gain klasifikasi penyakit gagal ginjal metode modified knearest neighbor mknn,"Muhammad Ramanda Hasibuan, Marji Marji",30 Nov 2019
fitur information gain identifikasi jenis attention deficit hyperactivity disorder metode modified knearest neighbor,"Muhammad Hafidzullah, Sutrisno Sutrisno, Marji Marji",30 Nov 2019
usability tampilan antarmuka website perpustakaan politeknik kesehatan kemenkes kota malang metode usability testing heuristic evaluation,"Arnezha Tinar, Satrio Hadi Wijoyo, Retno Indah Rokhmawati",30 Nov 2019
regresi linier berganda prediksi peminat mata kuliah pilihan,"Nur Kholida Afkarina, Agus Wahyu Widodo, Muhammad Tanzil Furqon",30 Nov 2019
perbandingan load balancing berbasis algoritma never queue destination hashing ipv,"Mohamad Deltaviyahya, Primantara Hari Trisnawan",30 Nov 2019
sistem point of sale berbasis web bengkel sepeda motor studi mr montir pci cilegon,"Rakha Ramadhia Putra, Adam Hendra Brata, Lutfi Fanani",30 Nov 2019
user experience aplikasi mobile lelenesia marketplace penjualan lele metode design thinking,"Dara Adhelia Rusanty, Herman Tolle, Lutfi Fanani",30 Nov 2019
antarmuka sistem informasi manajemen kelurahan metode humancentered design studi kantor kelurahan penanggungan kecamatan klojen kota malang,"Hilda Khairunnisa, Satrio Hadi Wijoyo, Aditya Rachmadi",30 Nov 2019
perancangan sistem administrasi pembayaran siswa metode human centered design studi sma negeri sukodadi,"Alif Hilyatun Nisak, Satrio Hadi Wijoyo, Aditya Rachmadi",30 Nov 2019
sistem freelance marketplace bidang pengembangan perangkat lunak berbasis web,"Arka Fadila Yasa, Denny Sagita Rusdianto, Komang Candra Brata",30 Nov 2019
keputusan pelanggan extreme learning machine data telco customer churn,"Daris Hadyan Tisantri, Randy Cahya Wihandika, Sigit Adinugroho",30 Nov 2019
musik berdasarkan emosi metode transformasi haar wavelet,"Natassa Anastasya, Agus Wahyu Widodo, Muh. Arif Rahman",30 Nov 2019
penyakit mata metode improved knearest neighbor,"Anggita Nurfadilla Mahardika, Agus Wahyu Widodo, Muh. Arif Rahman",30 Nov 2019
protokol anchorbased street and traffic aware routing astar intersection node vehicular adhoc network vanet,"Danny Candra Rumantyo, Primantara Hari Trisnawan, Reza Andria Siregar",30 Nov 2019
usability web unipin metode usability testing,"Dinda Aditya Febrianti, Satrio Hadi Wijoyo, Hanifah Muslimah Az-Zahra",30 Nov 2019
ciri klasifikasi jenis kelamin berbasis citra wajah metode compass local binary patterns,"Muhamad Wahyu Budi Santoso, Randy Cahya Wihandika, Muh. Arif Rahman",30 Nov 2019
perbaikan desain antarmuka pengguna situs web sma negeri bangkalan metode webuse pendekatan human centered design,"Sapriliana Sukmana Putri, Satrio Hadi Wijoyo, Buce Trias Hanggara",30 Nov 2019
antarmuka sistem informasi kependudukan desa pandanarum kec pacet kab mojokerto metode humancentred design hcd,"Elistya Maghfiroh, Satrio Hadi Wijoyo, Buce Trias Hanggara",30 Nov 2019
owasp mobile security testing guide mstg pengujian keamanan aplikasi berbasis android,"Luqman Hakim Yumnun, Ari Kusyanti, Dany Primanita Kartikasari",30 Nov 2019
problem based learning berbantuan lembar kerja siswa meningkatkan hasil belajar mata pelajaran pemrograman dasar studi smk negeri malang,"Sila Nur Ma'rifah, Satrio Hadi Wijoyo, Satrio Agung Wicaksono",30 Nov 2019
emosi berdasarkan ciri wajah convolutional neural network,"Achmad Yusuf, Randy Cahya Wihandika, Candra Dewi",30 Nov 2019
aplikasi kakas bantu menghitung estimasi nilai modifiability class diagram,"Heru Apriadi, Faizatul Amalia, Bayu Priyambadha",30 Nov 2019
sistem informasi manajemen alat laboratorium instrumentasi pengukuran fakultas mipa universitas brawijaya,"Willy Aditya Nugraha, Ahmad Afif Supianto, Welly Purnomo",30 Nov 2019
topik dokumen berita termcluster weighting clustering large application clara,"Rizal Maulana, Sigit Adinugroho, Sutrisno Sutrisno",30 Nov 2019
penjualan seblak algoritme extreme learning machine seblak malabar,"Fadhlillah Ikhsan, Budi Darma Setiawan, Tibyani Tibyani",30 Nov 2019
terjemahan hadits shahih muslim metode bm,"Bagus Abdan Aziz Fahriansyah, Indriati Indriati, Marji Marji",30 Nov 2019
media pembelajaran berbasis android materi pemrograman dasar smk negeri malang,"Mochammad Hafidz, Wibisono Sukmo Wardhono, Satrio Agung Wicaksono",30 Nov 2019
sistem manajemen proyek berbasis web studi pt mitra inti cemerlang,"Muhammad Faris Auzan, Achmad Arwan, Agi Putra Kharisma",30 Nov 2019
perancangan sistem informasi reservasi tour and travel metode ooad warok tour and travel,"Toufan Khoirin Nasikhin, Widhy Hayuhardhika Nugraha Putra, Djoko Pramono",30 Nov 2019
jaringan saraf tiruan bantuan pengereman pemain gim balapan,"Mochamad Halim, Muhammad Aminul Akbar, Tri Afirianto",30 Nov 2019
penentuan centroid algoritme kmeans algoritme pillar studi penyandang kesejahteraan sosial provinsi jawa timur,"Alan Primandana, Sigit Adinugroho, Candra Dewi",30 Nov 2019
volume berat buah belimbing metode cakram regresi linear berbasis kamera raspberry pi,"Muhammad Rifqi Radifan Masruri, Hurriyatul Fitriyah, Eko Setiawan",30 Nov 2019
pembeda daging sapi daging babi berdasarkan warna kadar amonia metode jaringan syaraf tiruan berbasis android,"Muchamad Rafi Dharmawan, Dahnial Syauqy, Gembong Edhi Setyawan",30 Nov 2019
user experience kahoot socrative metode user experience questionnaire ueq studi smkn malang,"Fauzan Fitranda, Hanifah Muslimah Az-Zahra, Admaja Dwi Herlambang",30 Nov 2019
pemantauan detak jantung suhu tubuh protokol komunikasi mqtt,"Fathul Hakim, Heru Nurwarsito",30 Nov 2019
feeder vehicle routing problem distribusi pengiriman barang multiple travelling salesman problem algoritme genetika,"Maya Novita Putri Riyanto, Imam Cholisoddin, Putra Pandu Adikara",30 Nov 2019
algoritme simon enkripsi dekripsi berbasis qr code,"Ngr. Putu Raka Novandra Asta, Ari Kusyanti, Kasyful Amron",30 Nov 2019
informasi akademik berbasis web smk negeri payakumbuh,"Fairuz Zaki, Faizatul Amalia, Achmad Arwan",30 Nov 2019
aplikasi asistensi skripsi mahasiswa berbasis progressive web app metode prototyping,"Welly Dian Astika, Adam Hendra Brata, Komang Candra Brata",30 Nov 2019
metode extreme learning machine prediksi konsumsi batubara sektor pembangkit listrik tenaga uap,"Rosintan Fatwa, Imam Cholissodin, Yuita Arum Sari",30 Nov 2019
perancangan sistem informasi pelaporan sampah studi dinas lingkungan hidup kebersihan kabupaten sidoarjo,"Irvan Dwiantono Kartomiharjo, Widhy Hayuhardhika Nugraha Putra, Welly Purnomo",30 Nov 2019
sistem epembelajaran siswa berbasis web studi sman bululawang,"Shafitri Noviagsani Putri, Adam Hendra Brata, Herman Tolle",30 Nov 2019
enkripsi payload algoritme grain berbasis iot middleware,"Winda Ayu Safitri, Ari Kusyanti, Eko Sakti Pramukantoro",30 Nov 2019
perbandingan kinerja protokol routing ospf rip eigrp isis,"Pahlevi Muhammad, Primantara Hari Trisnawan, Kasyful Amron",30 Nov 2019
perancangan sistem informasi eksekutif dashboard data egovernment berbasis service pemerintah kabupaten sidoarjo,"Rivalno Al Fath Ismubandono, Widhy Hayuhardhika Nugraha Putra, Djoko Pramono",30 Nov 2019
situs website jurusan sistem informasi fakultas ilmu komputer universitas brawijaya pendekatan human centered design hcd,"Fariz Wahyu Djatmiko, Hanifah Muslimah Az-Zahra, Satrio Hadi Wijoyo",30 Nov 2019
sistem informasi ticketing pengadaan barang algoritme analytic hierarchy process prioritas berbasis web studi pt kawasaki motor indonesia,"Samuel Arthur, Faizatul Amalia, Fitra Abdurrachman Bachtiar",30 Nov 2019
risiko hipertensi fuzzy knearest neighbor,"Deby Chintya, Budi Darma Setiawan, Sutrisno Sutrisno",30 Nov 2019
penggunaan daya listrik protokol mqtt berbasis web,"Rifqi Zumadilla Pratama, Heru Nurwarsito",30 Nov 2019
bangun cctv berbasis wireless sensor network sistem deteksi pergerakan keamanan rumah,"Wahyu Pria Purnama, Rakhmadhany Primananda, Mochammad Hannats Hanafi Ichsan",30 Nov 2019
penjadwalan perkuliahan hybrid discrete particle swarm optimization studi stai mahad aly alhikam malang,"Achmad Choirur Roziqin, Imam Cholisoddin, Bayu Rahayudi",30 Nov 2019
algoritme fuzzy tsukamoto penilaian kinerja pegawai pt bank tabungan negara persero divisi ccrd consumer collection remedial division,"Muhammad Resna, Nurul Hidayat, Tibyani Tibyani",30 Nov 2019
penghitung jeruk matang kebun berdasarkan hue saturation chrominancered algoritme watershed berbasis raspberry pi,"Salsabiil Hasanah, Hurriyatul Fitriyah, Rizal Maulana",30 Nov 2019
sistem informasi perawatan luka praktik mandiri pedis care malang berbasis web,"Siska Irawati, Nurudin Santoso, Reza Andria Siregar",30 Nov 2019
pergerakan mata kedipan memilih menu display probabilitas berdasarkan facial landmark,"Akbar Dicky Purwanto, Fitri Utaminingrum",30 Nov 2019
aplikasi pembelajaran keterampilan menulis al quran pendekatan gamification,"Muhammad Afif Fauzi, Lutfi Fanani, Komang Candra Brata",30 Nov 2019
penerimaan bea cukai metode support vector regression studi kppbc tipe madya pabean c jember,"Dinda Adilfi Wirahmi, Imam Cholissodin, Indriati Indriati",30 Nov 2019
metode knearest neighbors sistem pendeteksi sleep apnea,"Dony Satrio Wibowo, Rizal Maulana, Fitri Utaminingrum",30 Nov 2019
metode fknn fuzzy knearest neighbor diagnosis penyakit tanaman kentang,"Jiwandani Andromeda, Nurul Hidayat, Ratih Kartika Dewi",31 Dec 2019
sistem informasi administrasi keuangan sekolah studi mts yanuris linggapura,"Reza Faridh Mashyuri, Faizatul Amalia, Achmad Arwan",31 Dec 2019
tingkat kapabilitas manajemen permintaan insiden layanan dss badan kepegawaian daerah kabupaten lumajang framework cobit,"Achmad Andriansyah, Andi Reza Perdanakusuma, Ismiarta Aknuranda",31 Dec 2019
aplikasi pengelolaan monitoring perjalanan dinas studi smk canda bhirawa pare,"Nike Wirahayu Cahyaningsih, Denny Sagita Rusdianto, Komang Candra Brata",31 Dec 2019
pohon keputusan metode genetic programming penentuan penderita diabetes melitus,"Farizky Novanda Pramuditya, Agus Wahyu Widodo, Bayu Rahayudi",31 Dec 2019
evaluasi kinerja protokol distance routing effect algorithm for mobility dream vehicular adhoc network vanet komunikasi kendaraan infrastruktur,"Imam Utomo, Primantara Hari Trisnawan, Reza Andria Siregar",31 Dec 2019
gateway menghubungkan jaringan iot internet of things jaringan blockchain,"Muhammad Chalif Nurfaizi, Adhitya Bhawiyuga, Kasyful Amron",31 Dec 2019
sistem aplikasi penilaian sasaran kinerja dosen unit kepegawaian studi unit kepegawaian universitas kanjuruhan malang,"Rizky Muhammad Faris Prakoso, Adam Hendra Brata, Fitra Abdurrachman Bachtiar",31 Dec 2019
kecepatan kendaraan otomatis metode frame difference berbasis raspberry pi,"Faris Chandra Febrianto, Fitri Utaminingrum",31 Dec 2019
aplikasi manajemen event komunitas bonsai indonesia berbasis web,"Chasan Ali Mujahid, Nurudin Santoso, Djoko Pramono",31 Dec 2019
sistem pendeteksi serangan sql injection algoritme knearest neighbor,Rangga Dinata B,31 Dec 2019
perancangan sistem informasi penanganan keluhan masyarakat berbasis web studi pemerintah kabupaten sidoarjo,"Fikri Rizky Adinata, Widhy Hayuhardhika Nugraha Putra, Ismiarta Aknuranda",31 Dec 2019
fungsi aktivasi linier logarithmic normalization metode backpropagation peramalan luas kebakaran hutan,"Gilang Pratama, Sigit Adinugroho, Bayu Rahayudi",31 Dec 2019
pertumbuhan penduduk kota malang hibridasi algoritme genetika jaringan syaraf tiruan,"Obed Manuel Silalahi, Imam Cholissodin, Bayu Rahayudi",31 Dec 2019
hasil panen kelapa sawit metode multifactors high order fuzzy time series dioptimasi kmeans clustering studi pt sandabi indah lestari kota bengkulu,"Yessica Inggir Febiola, Imam Cholissodin, Candra Dewi",31 Dec 2019
metode modified knearest neighbor klasifikasi status gunung berapi,"Fikar Cevi Anggian, Nurul Hidayat, Muhammad Tanzil Furqon",31 Dec 2019
sistem rekam medis rumah sakit multi user rest server berbasis permissioned blockchain framework hyperledger,"Ekky Pramudito Setiawan, Adhitya Bhawiyuga, Reza Andria Siregar",01 Jan 2020
perbandingan kinerja protokol routing rip protokol routing isis ipv ipv,"Rino Erik Sanrio, Primantara Hari Trisnawan, Fariz Andri Bachtiar",01 Jan 2020
user experience gim defense of the ancients dota metode flow framework,"Moh. Laksamana Adhitama, Eriq Muhammad Adams Jonemaro, Wibisono Sukmo Wardhono",01 Jan 2020
media pembelajaran holografis studi bab indera pendengaran manusia,"Abdul Azis, Wibisono Sukmo Wardhono, Tri Afirianto",01 Jan 2020
aplikasi rekomendasi produk terbaik marketplace bukalapak dropshipper reseller ahptopsis,"Freddy Ajax Pratama, Faizatul Amalia, Edy Santoso",01 Jan 2020
sistem informasi pengelolaan persediaan barang reactjs react native prototype studi toko uda fajri,"Faisal Fajar Nursaid, Adam Hendra Brata, Agi Putra Kharisma",01 Jan 2020
sistem rekognisi rambu kecepataan circle hough transform convolutional neural network berbasis raspberry pi,"Asfar Triyadi, Fitri Utaminingrum",01 Jan 2020
antarmuka komunikasi berbasis long range iot middleware mendukung network interoperability,"Galih Bhaktiar Candra, Eko Sakti Pramukantoro, Rakhmadhany Primananda",01 Jan 2020
aplikasi augmented reality memadukan baju kampanye studi calon anggota dprd kabupaten nganjuk,"Ananda Widya Pratama, Herman Tolle, Wibisono Sukmo Wardhono",01 Jan 2020
algoritme acorn pengamanan data wsn,"Nadya Puspitasari, Ari Kusyanti, Fariz Andri Bakhtiar",01 Jan 2020
mekanisme transmisi data ecg berbasis teknologi lora long range,"Fadila Rafi Alifiandi, Eko Sakti Pramukantoro, Rakhmadhany Primananda",01 Jan 2020
infrastruktur analisis data heart rate berbasis microservices kubernetes,"Abd. Jahiduddin, Eko Sakti Pramukantoro, Fariz Andri Bachtiar",01 Jan 2020
sistem manajemen sumber daya manusia perusahaan retail studi pt ramayana lestari sentosa tbk malang,"Johan Andi Saputra, Achmad Arwan, Djoko Pramono",01 Jan 2020
kinerja routing protokol multicopy management buffer first infirst out fifo most forwarded first mofo delay tolerant network dtn,"Riski Manta Simanjorang, Heru Nurwarsito",01 Jan 2020
aplikasi android rekomendasi kelompok pembelian kerajinan tangan khas malang metode topsisborda,"I Made Wira Satya Dharma, Ratih Kartika Dewi, Muhammad Aminul Akbar",01 Jan 2020
algoritma hough transform object following ardrone quadcopter,"Muhammad Tri Buwana Zulfikar Ardi, Gembong Edhi Setyawan, Fitri Utaminingrum",01 Jan 2020
pembelian fitur premium pengguna aplikasi spotify variabel hedonic motivation system,"Randy Indraswara, Komang Candra Brata, Admaja Dwi Herlambang",01 Jan 2020
